iteration,objective,destroy_op,repair_op,accepted,new_best,time_sec,temperature
0,4883.005252576165,0,1,True,True,0.23963172100047814,25.0
1,3961.003059246161,1,0,True,True,0.22967645899916533,22.5
2,4019.342551273448,1,1,False,False,0.3894565800001146,22.5
3,4019.342551273448,1,1,False,False,0.38679499499994563,22.5
4,3966.06778497409,2,0,True,False,0.22409329099900788,22.5
5,3950.151132965964,0,0,True,True,0.294633919998887,22.5
6,4252.268676611786,0,1,False,False,0.3727794330006873,22.5
7,3854.40971619039,0,0,True,True,0.2357564679987263,22.5
8,3818.495099171826,2,0,True,True,0.23611528000037652,22.5
9,3753.5353570204697,0,0,True,True,0.4186765650010784,22.5
10,3849.087544101007,1,1,False,False,0.3779240989970276,22.5
11,4009.6846805786777,0,1,False,False,0.31324905500150635,22.5
12,3788.908097918729,2,0,False,False,0.3106710979991476,22.5
13,4022.7141918097172,2,1,False,False,0.2583233920013299,22.5
14,3610.409683750425,1,0,True,True,0.3262986070003535,22.5
15,3641.4242249268577,2,0,True,False,0.357103073001781,22.5
16,3870.0210583909948,1,1,False,False,0.2971429850003915,22.5
17,3870.0210583909948,1,1,False,False,0.2981204200004868,22.5
18,3971.2048889955204,2,1,False,False,0.32649552899965784,22.5
19,3870.0210583909948,1,1,False,False,0.30844951100152684,22.5
20,3870.0210583909948,1,1,False,False,0.3069752410010551,22.5
21,3878.335530164558,2,1,False,False,0.28241150499889045,22.5
